제조사,비행기모델,항공기코드_IATA,항공기코드_ICAO,비행기구분,비행기크기,비행기등급,엔진,엔진수,최초운항일,상태,조종석수,승객수,길이,높이,운송범위
AIRBUS,Airbus 350-900,A359,359,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2013-06-14,생산중,2,440,66.8,17,15372
AIRBUS,Airbus A220-100,BCS1,221,LandPlane,MEDIUM,Narrow-body jet airliner,Jet,2,2013-09-16,생산중,2,135,35,11.5,6390
AIRBUS,Airbus A220-300,BCS3,223,LandPlane,MEDIUM,Narrow-body jet airliner,Jet,2,2013-09-16,생산중,2,160,38.71,11.5,6700
AIRBUS,Airbus A300 B4-600,A306,AB6,LandPlane,HIGH,Wide-body jet airliner,Jet,2,1972-10-28,단종,2,360,54.1,16.6,7500
AIRBUS,Airbus A300-B2,A30B,AB4,LandPlane,HIGH,Wide-body jet airliner,Jet,2,1974-04-15,단종,3,360,53.6,16.5,5375
AIRBUS,Airbus A310,A310,312,LandPlane,MEDIUM,Wide-body jet airliner,Jet,2,1982-04-03,단종,2,279,46.6,15.8,6500
AIRBUS,Airbus A318,A318,318,LandPlane,MEDIUM,Narrow-body jet airliner,Jet,2,2002-01-15,생산중,2,100,31.4,12.5,5740
AIRBUS,Airbus A319,A319,319,LandPlane,MEDIUM,Narrow-body jet airliner,Jet,2,1995-08-25,생산중,2,142,33.8,11.7,6940
AIRBUS,Airbus A319 Neo,A19N,31N,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2014-12-25,생산중,2,180,33.8,11.7,6950
AIRBUS,Airbus A320,A320,320,LandPlane,MEDIUM,Single-aisle jet airliner,Jet,2,1987-02-22,생산중,2,179,37.5,11.7,6100
AIRBUS,Airbus A320 Neo,A20N,32N,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2014-12-25,생산중,2,164,37.5,11.7,6500
AIRBUS,Airbus A321,A321,321,LandPlane,MEDIUM,Single-aisle jet airliner,Jet,2,1988-11-24,생산중,2,212,44.5,11.8,5900
AIRBUS,Airbus A321 Neo,A21N,32Q,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2014-12-25,생산중,2,188,44.5,11.7,7400
AIRBUS,Airbus A321XLR,A21X,32X,LandPlane,MEDIUM,Narrow-body twin-engine jet airliner,Jet,2,2024-06-15,생산중,2,244,45,11.8,8700
AIRBUS,Airbus A330-200,A332,332,LandPlane,HIGH,Wide-body jet airliner,Jet,2,1992-11-02,생산중,2,380,58.3,16.8,13450
AIRBUS,Airbus A330-300,A333,333,LandPlane,HIGH,Wide-body jet airliner,Jet,2,1992-11-02,생산중,2,412,63.6,16.7,11750
AIRBUS,Airbus A330-800,A338,338,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2017-10-19,생산중,2,260,58.8,17.3,15094
AIRBUS,Airbus A330-900,A339,339,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2017-10-19,생산중,2,300,63.6,16.7,13334
AIRBUS,Airbus A340-200,A342,342,LandPlane,HIGH,Wide-body jet airliner,Jet,4,1991-10-25,생산중,2,360,59.4,16.7,12400
AIRBUS,Airbus A340-300,A343,343,LandPlane,HIGH,Wide-body jet airliner,Jet,4,1991-10-25,생산중,2,335,63.6,16.7,13500
AIRBUS,Airbus A340-500,A345,345,LandPlane,HIGH,Wide-body jet airliner,Jet,4,1991-10-25,생산중,2,490,67.8,17.9,16670
AIRBUS,Airbus A340-600,A346,346,LandPlane,HIGH,Wide-body jet airliner,Jet,4,1991-10-25,생산중,2,550,75.3,17.9,14450
AIRBUS,Airbus A350-1000 XWB,A35K,351,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2013-06-14,생산중,2,366,66.9,16.9,16100
AIRBUS,Airbus A350F,A35F,35F,LandPlane,HIGH,Wide-body freighter,Jet,2,2025-01-15,생산중,2,0,70,17,4700
AIRBUS,Airbus A380-800,A388,388,LandPlane,HIGH,Wide-body jet airliner,Jet,4,2005-04-27,단종,2,555,72.7,24.1,14800
ANTONOV,An-140,A140,A40,LandPlane,MEDIUM,Turboprop regional airliner,Turboprop,2,1997-12-17,생산중,2,52,22.6,8.2,3700
ANTONOV,An-148,A148,A81,LandPlane,MEDIUM,Regional jet airliner,Jet,2,2004-12-17,생산중,2,85,29.1,8.2,4400
ANTONOV,An-158,A158,A58,LandPlane,MEDIUM,Regional jet airliner,Jet,2,2010-04-28,생산중,2,99,30.8,8.2,2500
